Team,FDCOUK,City,Stadium,Capacity,Latitude,Longitude,Country,Id
A.F.C. Bournemouth,Bournemouth,Bournemouth,Goldsands Stadium,12000,50.735277,-1.83833,England,127
Arsenal ,Arsenal,London ,Emirates Stadium ,60361,51.555,-0.108611,England,1
Aston Villa ,Aston Villa,Birmingham ,Villa Park ,42785,52.509167,-1.884722,England,2
Birmingham City ,Birmingham,Birmingham ,St Andrew's Stadium ,30079,52.475703,-1.868189,England,35
Blackburn Rovers ,Blackburn,Blackburn ,Ewood Park ,31154,53.728611,-2.489167,England,3
Bolton Wanderers ,Bolton,Bolton ,Reebok Stadium ,28100,53.580556,-2.535556,England,27
Charlton Athletic,Charlton,Greenwich,The Valley ,27111,51.486389,0.036389,England,31
Chelsea ,Chelsea,London ,Stamford Bridge ,42449,51.481667,-0.191111,England,4
Crystal Palace ,Crystal Palace,London ,Selhurst Park ,26309,51.398333,-0.085556,England,6
Derby County ,Derby,Derby ,Pride Park Stadium ,33597,52.915,-1.447222,England,28
Everton ,Everton,Liverpool ,Goodison Park ,40157,53.438889,-2.966389,England,7
Fulham ,Fulham,London ,Craven Cottage ,25700,51.475,-0.221667,England,34
Hull City ,Hull,Kingston upon Hull ,KC Stadium ,25404,53.746111,-0.367778,England,41
Ipswich Town ,Ipswich,Ipswich ,Portman Road ,30311,52.055061,1.144831,England,8
Leeds United ,Leeds,Leeds ,Elland Road ,39460,53.777778,-1.572222,England,9
Leicester City ,Leicester,Leicester ,King Power Stadium ,32500,52.620278,-1.142222,England,26
Liverpool ,Liverpool,Liverpool ,Anfield ,45276,53.430819,-2.960828,England,10
Manchester City ,Man City,Manchester ,Etihad Stadium,47405,53.482989,-2.200292,England,11
Manchester United ,Man United,Stretford ,Old Trafford ,75811,53.463056,-2.291389,England,12
Middlesbrough ,Middlesbrough,Middlesbrough ,Riverside Stadium ,34988,54.578333,-1.216944,England,13
Newcastle United ,Newcastle,Newcastle upon Tyne ,Sports Direct Arena,52409,54.975556,-1.621667,England,23
Norwich City ,Norwich,Norwich ,Carrow Road ,27010,52.622128,1.308653,England,14
Portsmouth ,Portsmouth,Portsmouth ,Fratton Park ,20224,50.796389,-1.063889,England,37
Queens Park Rangers ,QPR,London ,Loftus Road ,18439,51.509167,-0.232222,England,17
Reading ,Reading,Reading ,Madejski Stadium ,24224,51.422222,-0.982778,England,40
Sheffield United,Sheffield United,Sheffield,Bramall Lane,32702,53.370278,-1.470833,England,18
Southampton ,Southampton,Southampton ,St Mary's Stadium ,32689,50.905833,-1.391111,England,20
Stoke City ,Stoke,Stoke-on-Trent ,Britannia Stadium ,27740,52.988333,-2.175556,England,42
Sunderland ,Sunderland,Sunderland ,Stadium of Light ,48707,54.9144,-1.3882,England,29
Swansea City ,Swansea,Swansea ,Liberty Stadium ,20520,51.6422,-3.9351,England,45
Tottenham Hotspur ,Tottenham,London ,White Hart Lane ,36230,51.603333,-0.065833,England,21
Watford ,Watford,Watford ,Vicarage Road ,23500,51.649836,-0.401486,England,33
West Bromwich Albion ,West Brom,West Bromwich ,The Hawthorns ,27877,52.509167,-1.963889,England,36
West Ham United ,West Ham,London ,Boleyn Ground ,35303,51.531944,0.039444,England,25
Wigan Athletic ,Wigan,Wigan ,DW Stadium ,25133,53.547778,-2.653889,England,39
Wolverhampton Wanderers ,Wolves,Wolverhampton ,Molineux Stadium ,27828,52.590278,-2.130278,England,38
